window_group_id	contig	window_start	window_end	n_members	n_samples	hap_start	hap_end	hap_span_bp	median_member_span_bp	n_markers	samples	haplotype_ids
demo_contig_1_LIN000001_1	demo_contig_1	1	20001	4	4	112	19964	19852	19513.0	1992	T3,T4,T5,T6	T3_demo_contig_1_1_H1,T4_demo_contig_1_1_H0,T5_demo_contig_1_1_H1,T6_demo_contig_1_1_H1
demo_contig_1_LIN000001_10001	demo_contig_1	10001	30001	4	4	10059	29990	19931	19884.0	1956	T3,T4,T5,T6	T3_demo_contig_1_10001_H1,T4_demo_contig_1_10001_H0,T5_demo_contig_1_10001_H1,T6_demo_contig_1_10001_H0
demo_contig_1_LIN000001_20001	demo_contig_1	20001	40001	4	4	20040	39948	19908	19828.0	1974	T3,T4,T5,T6	T3_demo_contig_1_20001_H1,T4_demo_contig_1_20001_H0,T5_demo_contig_1_20001_H0,T6_demo_contig_1_20001_H0
demo_contig_1_LIN000001_30001	demo_contig_1	30001	50001	4	4	30002	49916	19914	19850.0	2180	T3,T4,T5,T6	T3_demo_contig_1_30001_H1,T4_demo_contig_1_30001_H0,T5_demo_contig_1_30001_H0,T6_demo_contig_1_30001_H0
demo_contig_1_LIN000001_40001	demo_contig_1	40001	60001	8	6	40098	59965	19867	19592.0	2140	T1,T2,T3,T4,T5,T6	T1_demo_contig_1_40001_H2,T1_demo_contig_1_40001_H3,T2_demo_contig_1_40001_H1,T2_demo_contig_1_40001_H2,T3_demo_contig_1_40001_H0,T4_demo_contig_1_40001_H0,T5_demo_contig_1_40001_H0,T6_demo_contig_1_40001_H0
demo_contig_1_LIN000001_50001	demo_contig_1	50001	70001	6	6	50032	69846	19814	19739.0	2612	T1,T2,T3,T4,T5,T6	T1_demo_contig_1_50001_H1,T2_demo_contig_1_50001_H1,T3_demo_contig_1_50001_H1,T4_demo_contig_1_50001_H0,T5_demo_contig_1_50001_H0,T6_demo_contig_1_50001_H0
demo_contig_1_LIN000001_60001	demo_contig_1	60001	80001	8	6	60013	79995	19982	19982.0	3024	T1,T2,T3,T4,T5,T6	T1_demo_contig_1_60001_H1,T1_demo_contig_1_60001_H2,T1_demo_contig_1_60001_H3,T2_demo_contig_1_60001_H1,T3_demo_contig_1_60001_H0,T4_demo_contig_1_60001_H0,T5_demo_contig_1_60001_H0,T6_demo_contig_1_60001_H0
demo_contig_1_LIN000001_70001	demo_contig_1	70001	90001	6	6	70001	89997	19996	19946.0	3262	T1,T2,T3,T4,T5,T6	T1_demo_contig_1_70001_H1,T2_demo_contig_1_70001_H2,T3_demo_contig_1_70001_H0,T4_demo_contig_1_70001_H0,T5_demo_contig_1_70001_H1,T6_demo_contig_1_70001_H0
demo_contig_1_LIN000001_80001	demo_contig_1	80001	100001	5	4	80045	99925	19880	19464.0	1772	T2,T3,T5,T6	T2_demo_contig_1_80001_H1,T2_demo_contig_1_80001_H2,T3_demo_contig_1_80001_H1,T5_demo_contig_1_80001_H0,T6_demo_contig_1_80001_H0
demo_contig_1_LIN000001_90001	demo_contig_1	90001	100001	4	4	90029	99951	9922	9892.0	786	T2,T3,T4,T5	T2_demo_contig_1_90001_H1,T3_demo_contig_1_90001_H1,T4_demo_contig_1_90001_H0,T5_demo_contig_1_90001_H0
demo_contig_1_LIN000002_1	demo_contig_1	1	20001	1	1	2980	19919	16939	16939.0	529	T6	T6_demo_contig_1_1_H2
demo_contig_1_LIN000002_10001	demo_contig_1	10001	30001	5	4	10059	29977	19918	19871.0	1165	T1,T2,T4,T5	T1_demo_contig_1_10001_H1,T2_demo_contig_1_10001_H1,T4_demo_contig_1_10001_H1,T4_demo_contig_1_10001_H2,T5_demo_contig_1_10001_H0
demo_contig_1_LIN000002_20001	demo_contig_1	20001	40001	3	2	21126	39868	18742	16092.0	126	T1,T2	T1_demo_contig_1_20001_H1,T1_demo_contig_1_20001_H2,T2_demo_contig_1_20001_H1
demo_contig_1_LIN000002_30001	demo_contig_1	30001	50001	4	2	30381	49471	19090	19090.0	154	T1,T2	T1_demo_contig_1_30001_H1,T1_demo_contig_1_30001_H2,T2_demo_contig_1_30001_H1,T2_demo_contig_1_30001_H2
demo_contig_1_LIN000003_1	demo_contig_1	1	20001	7	4	363	19952	19589	18962.0	1613	T1,T2,T3,T6	T1_demo_contig_1_1_H0,T1_demo_contig_1_1_H1,T2_demo_contig_1_1_H0,T2_demo_contig_1_1_H1,T3_demo_contig_1_1_H0,T3_demo_contig_1_1_H2,T6_demo_contig_1_1_H3
demo_contig_1_LIN000004_70001	demo_contig_1	70001	90001	1	1	70043	89989	19946	19946.0	782	T2	T2_demo_contig_1_70001_H1
demo_contig_1_LIN000004_80001	demo_contig_1	80001	100001	2	1	80007	99607	19600	19600.0	556	T1	T1_demo_contig_1_80001_H0,T1_demo_contig_1_80001_H1
demo_contig_1_LIN000005_1	demo_contig_1	1	20001	3	3	112	19964	19852	19468.0	1513	T4,T5,T6	T4_demo_contig_1_1_H1,T5_demo_contig_1_1_H0,T6_demo_contig_1_1_H0
demo_contig_1_LIN000006_80001	demo_contig_1	80001	100001	2	1	80081	99951	19870	19870.0	732	T4	T4_demo_contig_1_80001_H0,T4_demo_contig_1_80001_H1
demo_contig_1_LIN000006_90001	demo_contig_1	90001	100001	1	1	90033	99474	9441	9441.0	239	T6	T6_demo_contig_1_90001_H0
demo_contig_1_LIN000007_40001	demo_contig_1	40001	60001	2	2	40023	59962	19939	19939.0	483	T1,T4	T1_demo_contig_1_40001_H1,T4_demo_contig_1_40001_H1
demo_contig_1_LIN000008_10001	demo_contig_1	10001	30001	1	1	10106	29990	19884	19884.0	525	T3	T3_demo_contig_1_10001_H2
demo_contig_1_LIN000009_80001	demo_contig_1	80001	100001	1	1	80081	98819	18738	18738.0	674	T4	T4_demo_contig_1_80001_H2
demo_contig_1_LIN000010_70001	demo_contig_1	70001	90001	1	1	70109	89997	19888	19888.0	725	T5	T5_demo_contig_1_70001_H0
demo_contig_1_LIN000011_90001	demo_contig_1	90001	100001	1	1	90033	99474	9441	9441.0	239	T6	T6_demo_contig_1_90001_H1
