lineage_id	mag	contig	sample	n_windows_lineage	n_samples_lineage	window_start	window_end	marker_start	marker_end	marker_span_bp	n_windows	abundance	abundance_all_reads	reads	total_reads	junk_reads	window_group_ids	haplotype_ids
demo_contig_1_LIN000001	demo	demo_contig_1	T5	10	6	1	100001	112	99951	99839	10	0.9332740213523132	0.8837405223251895	1049	1124	63	demo_contig_1_LIN000001_1,demo_contig_1_LIN000001_10001,demo_contig_1_LIN000001_20001,demo_contig_1_LIN000001_30001,demo_contig_1_LIN000001_40001,demo_contig_1_LIN000001_50001,demo_contig_1_LIN000001_60001,demo_contig_1_LIN000001_70001,demo_contig_1_LIN000001_80001,demo_contig_1_LIN000001_90001	T5_demo_contig_1_1_H1,T5_demo_contig_1_10001_H1,T5_demo_contig_1_20001_H0,T5_demo_contig_1_30001_H0,T5_demo_contig_1_40001_H0,T5_demo_contig_1_50001_H0,T5_demo_contig_1_60001_H0,T5_demo_contig_1_70001_H1,T5_demo_contig_1_80001_H0,T5_demo_contig_1_90001_H0
demo_contig_1_LIN000001	demo	demo_contig_1	T6	10	6	1	100001	112	99951	99839	9	0.9303062302006336	0.8836509528585758	881	947	50	demo_contig_1_LIN000001_1,demo_contig_1_LIN000001_10001,demo_contig_1_LIN000001_20001,demo_contig_1_LIN000001_30001,demo_contig_1_LIN000001_40001,demo_contig_1_LIN000001_50001,demo_contig_1_LIN000001_60001,demo_contig_1_LIN000001_70001,demo_contig_1_LIN000001_80001	T6_demo_contig_1_1_H1,T6_demo_contig_1_10001_H0,T6_demo_contig_1_20001_H0,T6_demo_contig_1_30001_H0,T6_demo_contig_1_40001_H0,T6_demo_contig_1_50001_H0,T6_demo_contig_1_60001_H0,T6_demo_contig_1_70001_H0,T6_demo_contig_1_80001_H0
demo_contig_1_LIN000002	demo	demo_contig_1	T1	4	5	1	50001	2980	49471	46491	3	0.008888888888888889	0.005420054200542005	2	225	144	demo_contig_1_LIN000002_10001,demo_contig_1_LIN000002_20001,demo_contig_1_LIN000002_20001,demo_contig_1_LIN000002_30001,demo_contig_1_LIN000002_30001	T1_demo_contig_1_10001_H1,T1_demo_contig_1_20001_H1,T1_demo_contig_1_20001_H2,T1_demo_contig_1_30001_H1,T1_demo_contig_1_30001_H2
demo_contig_1_LIN000002	demo	demo_contig_1	T2	4	5	1	50001	2980	49471	46491	3	0.0	0.0	0	231	159	demo_contig_1_LIN000002_10001,demo_contig_1_LIN000002_20001,demo_contig_1_LIN000002_30001,demo_contig_1_LIN000002_30001	T2_demo_contig_1_10001_H1,T2_demo_contig_1_20001_H1,T2_demo_contig_1_30001_H1,T2_demo_contig_1_30001_H2
demo_contig_1_LIN000002	demo	demo_contig_1	T4	4	5	1	50001	2980	49471	46491	1	0.03669724770642202	0.034482758620689655	4	109	7	demo_contig_1_LIN000002_10001,demo_contig_1_LIN000002_10001	T4_demo_contig_1_10001_H1,T4_demo_contig_1_10001_H2
demo_contig_1_LIN000002	demo	demo_contig_1	T5	4	5	1	50001	2980	49471	46491	1	0.030927835051546393	0.0297029702970297	3	97	4	demo_contig_1_LIN000002_10001	T5_demo_contig_1_10001_H0
demo_contig_1_LIN000002	demo	demo_contig_1	T6	4	5	1	50001	2980	49471	46491	1	0.015384615384615385	0.014925373134328358	1	65	2	demo_contig_1_LIN000002_1	T6_demo_contig_1_1_H2
demo_contig_1_LIN000003	demo	demo_contig_1	T1	1	4	1	20001	363	19952	19589	1	0.2222222222222222	0.14084507042253522	10	45	26	demo_contig_1_LIN000003_1,demo_contig_1_LIN000003_1	T1_demo_contig_1_1_H0,T1_demo_contig_1_1_H1
demo_contig_1_LIN000003	demo	demo_contig_1	T2	1	4	1	20001	363	19952	19589	1	0.7	0.42168674698795183	35	50	33	demo_contig_1_LIN000003_1,demo_contig_1_LIN000003_1	T2_demo_contig_1_1_H0,T2_demo_contig_1_1_H1
demo_contig_1_LIN000003	demo	demo_contig_1	T3	1	4	1	20001	363	19952	19589	1	0.1875	0.14516129032258066	9	48	14	demo_contig_1_LIN000003_1,demo_contig_1_LIN000003_1	T3_demo_contig_1_1_H0,T3_demo_contig_1_1_H2
demo_contig_1_LIN000003	demo	demo_contig_1	T6	1	4	1	20001	363	19952	19589	1	0.0	0.0	0	65	2	demo_contig_1_LIN000003_1	T6_demo_contig_1_1_H3
demo_contig_1_LIN000004	demo	demo_contig_1	T1	2	2	70001	100001	70043	99607	29564	1	0.14893617021276595	0.08536585365853659	7	47	35	demo_contig_1_LIN000004_80001,demo_contig_1_LIN000004_80001	T1_demo_contig_1_80001_H0,T1_demo_contig_1_80001_H1
demo_contig_1_LIN000004	demo	demo_contig_1	T2	2	2	70001	100001	70043	99607	29564	1	0.03529411764705882	0.021739130434782608	3	85	53	demo_contig_1_LIN000004_70001	T2_demo_contig_1_70001_H1
demo_contig_1_LIN000005	demo	demo_contig_1	T4	1	3	1	20001	112	19964	19852	1	0.013157894736842105	0.012195121951219513	1	76	6	demo_contig_1_LIN000005_1	T4_demo_contig_1_1_H1
demo_contig_1_LIN000005	demo	demo_contig_1	T5	1	3	1	20001	112	19964	19852	1	0.02857142857142857	0.027777777777777776	2	70	2	demo_contig_1_LIN000005_1	T5_demo_contig_1_1_H0
demo_contig_1_LIN000005	demo	demo_contig_1	T6	1	3	1	20001	112	19964	19852	1	0.2923076923076923	0.2835820895522388	19	65	2	demo_contig_1_LIN000005_1	T6_demo_contig_1_1_H0
demo_contig_1_LIN000006	demo	demo_contig_1	T4	2	2	80001	100001	80081	99951	19870	1	0.2	0.1875	15	75	5	demo_contig_1_LIN000006_80001,demo_contig_1_LIN000006_80001	T4_demo_contig_1_80001_H0,T4_demo_contig_1_80001_H1
demo_contig_1_LIN000006	demo	demo_contig_1	T6	2	2	80001	100001	80081	99951	19870	1	0.12195121951219512	0.12195121951219512	5	41	0	demo_contig_1_LIN000006_90001	T6_demo_contig_1_90001_H0
demo_contig_1_LIN000007	demo	demo_contig_1	T1	1	2	40001	60001	40023	59962	19939	1	0.024691358024691357	0.015037593984962405	2	81	52	demo_contig_1_LIN000007_40001	T1_demo_contig_1_40001_H1
demo_contig_1_LIN000007	demo	demo_contig_1	T4	1	2	40001	60001	40023	59962	19939	1	0.0	0.0	0	94	19	demo_contig_1_LIN000007_40001	T4_demo_contig_1_40001_H1
demo_contig_1_LIN000008	demo	demo_contig_1	T3	1	1	10001	30001	10106	29990	19884	1	0.014285714285714285	0.010309278350515464	1	70	27	demo_contig_1_LIN000008_10001	T3_demo_contig_1_10001_H2
demo_contig_1_LIN000009	demo	demo_contig_1	T4	1	1	80001	100001	80081	98819	18738	1	0.04	0.0375	3	75	5	demo_contig_1_LIN000009_80001	T4_demo_contig_1_80001_H2
demo_contig_1_LIN000010	demo	demo_contig_1	T5	1	1	70001	90001	70109	89997	19888	1	0.022222222222222223	0.02158273381294964	3	135	4	demo_contig_1_LIN000010_70001	T5_demo_contig_1_70001_H0
demo_contig_1_LIN000011	demo	demo_contig_1	T6	1	1	90001	100001	90033	99474	9441	1	0.024390243902439025	0.024390243902439025	1	41	0	demo_contig_1_LIN000011_90001	T6_demo_contig_1_90001_H1
